tcu_lengths,tcu_words,tcu_syllables
390.0,2,3
540.0,1,2
1060.0,4,5
480.0,5,5
10270.0,23,31
2171.0,9,11
3063.0,7,10
7294.0,20,34
711.0,3,3
3490.0,10,18
3326.0,13,13
6525.0,17,21
387.0,2,2
6469.0,22,27
4923.0,12,19
2974.0,6,7
6235.0,12,19
386.0,2,2
6020.0,15,22
385.0,2,2
923.0,5,5
348.0,4,4
7829.0,20,27
3959.0,13,16
3070.0,8,10
3344.0,12,16
5069.0,14,18
4799.0,17,21
406.0,1,1
385.0,1,1
692.0,4,4
4976.0,20,26
209.0,1,1
2828.0,13,14
2800.0,5,6
325.0,1,1
5144.0,9,12
306.0,1,1
660.0,3,6
1566.0,10,13
508.0,2,2
982.0,4,7
817.0,5,5
383.0,1,1
4897.0,13,15
1969.0,4,4
5180.0,12,25
477.0,1,1
3563.0,13,22
326.0,1,1
1536.0,8,11
501.0,1,1
796.0,3,3
2958.0,7,13
755.0,1,1
362.0,1,1
8675.0,20,30
1764.0,8,9
2111.0,6,9
406.0,2,2
1707.0,4,8
6330.0,26,35
15493.0,35,47
1392.0,6,6
246.0,1,1
296.0,1,1
5368.0,14,20
370.0,4,4
10962.0,28,37
3422.0,13,15
5047.0,18,21
377.0,1,1
3268.0,14,14
350.0,1,1
2718.0,9,11
784.0,4,5
240.0,2,2
630.0,2,2
298.0,1,1
636.0,4,4
9459.0,16,25
